"Country","Sector","Year","Value"
"Senegal","Industrial Processes","1992","0.00"
"Singapore","Industrial Processes","1992","0.00"
"Solomon Islands","Industrial Processes","1992","0.00"
"Sierra Leone","Industrial Processes","1992","0.00"
"El Salvador","Industrial Processes","1992","0.00"
"Somalia","Industrial Processes","1992","0.00"
"South Sudan","Industrial Processes","1992","0.00"
"Sao Tome and Principe","Industrial Processes","1992","0.00"
"Suriname","Industrial Processes","1992","0.00"
"Slovakia","Industrial Processes","1992","0.00"
"Slovenia","Industrial Processes","1992","0.00"
"Eswatini","Industrial Processes","1992","0.00"
"Seychelles","Industrial Processes","1992","0.00"
"Syria","Industrial Processes","1992","0.00"
"Chad","Industrial Processes","1992","0.00"
"Togo","Industrial Processes","1992","0.00"
"Tajikistan","Industrial Processes","1992","0.00"
"Turkmenistan","Industrial Processes","1992","0.00"
"Timor-Leste","Industrial Processes","1992","0.00"
"Tonga","Industrial Processes","1992","0.00"
"Tunisia","Industrial Processes","1992","0.00"
"Tuvalu","Industrial Processes","1992","0.00"
"Tanzania","Industrial Processes","1992","0.00"
"Uganda","Industrial Processes","1992","0.00"
"Uruguay","Industrial Processes","1992","0.00"
"Uzbekistan","Industrial Processes","1992","0.00"
"Saint Vincent and the Grenadines","Industrial Processes","1992","0.00"
"Vietnam","Industrial Processes","1992","0.00"
"Vanuatu","Industrial Processes","1992","0.00"
"Samoa","Industrial Processes","1992","0.00"
"Yemen","Industrial Processes","1992","0.00"
"Zambia","Industrial Processes","1992","0.00"
"Indonesia","Industrial Processes","1993","0.00"
"Zimbabwe","Industrial Processes","1993","0.00"
"Qatar","Industrial Processes","1993","0.00"
"Thailand","Industrial Processes","1993","0.00"
"India","Industrial Processes","1993","0.00"
"Venezuela","Industrial Processes","1993","0.00"
"Iran","Industrial Processes","1993","0.00"
"Bahrain","Industrial Processes","1993","0.00"
"United Arab Emirates","Industrial Processes","1993","0.00"
"Peru","Industrial Processes","1993","0.00"
"Algeria","Industrial Processes","1993","0.00"
"Philippines","Industrial Processes","1993","0.00"
"Afghanistan","Industrial Processes","1993","0.00"
"Angola","Industrial Processes","1993","0.00"
"Albania","Industrial Processes","1993","0.00"
"Andorra","Industrial Processes","1993","0.00"
"Armenia","Industrial Processes","1993","0.00"
"Antigua and Barbuda","Industrial Processes","1993","0.00"
"Azerbaijan","Industrial Processes","1993","0.00"
"Burundi","Industrial Processes","1993","0.00"
"Benin","Industrial Processes","1993","0.00"
"Burkina Faso","Industrial Processes","1993","0.00"
"Bangladesh","Industrial Processes","1993","0.00"
"Bahamas","Industrial Processes","1993","0.00"
"Bosnia and Herzegovina","Industrial Processes","1993","0.00"
"Belize","Industrial Processes","1993","0.00"
"Bolivia","Industrial Processes","1993","0.00"
"Barbados","Industrial Processes","1993","0.00"
"Brunei","Industrial Processes","1993","0.00"
"Bhutan","Industrial Processes","1993","0.00"
"Botswana","Industrial Processes","1993","0.00"
"Central African Republic","Industrial Processes","1993","0.00"
"Switzerland","Industrial Processes","1993","0.00"
"China","Industrial Processes","1993","0.00"
"CГґte d'Ivoire","Industrial Processes","1993","0.00"
"Cameroon","Industrial Processes","1993","0.00"
"Democratic Republic of the Congo","Industrial Processes","1993","0.00"
"Republic of Congo","Industrial Processes","1993","0.00"
"Comoros","Industrial Processes","1993","0.00"
"Cape Verde","Industrial Processes","1993","0.00"
"Costa Rica","Industrial Processes","1993","0.00"
"Cuba","Industrial Processes","1993","0.00"
"Cyprus","Industrial Processes","1993","0.00"
"Djibouti","Industrial Processes","1993","0.00"
"Dominica","Industrial Processes","1993","0.00"
"Denmark","Industrial Processes","1993","0.00"
"Dominican Republic","Industrial Processes","1993","0.00"
"Ecuador","Industrial Processes","1993","0.00"
"Egypt","Industrial Processes","1993","0.00"
"Eritrea","Industrial Processes","1993","0.00"
"Estonia","Industrial Processes","1993","0.00"
"Ethiopia","Industrial Processes","1993","0.00"
"Finland","Industrial Processes","1993","0.00"
"Fiji","Industrial Processes","1993","0.00"
"Micronesia","Industrial Processes","1993","0.00"
"Gabon","Industrial Processes","1993","0.00"
"Georgia","Industrial Processes","1993","0.00"
"Ghana","Industrial Processes","1993","0.00"
"Guinea","Industrial Processes","1993","0.00"
"Gambia","Industrial Processes","1993","0.00"
"Guinea-Bissau","Industrial Processes","1993","0.00"
"Equatorial Guinea","Industrial Processes","1993","0.00"
"Greece","Industrial Processes","1993","0.00"
"Grenada","Industrial Processes","1993","0.00"
"Guatemala","Industrial Processes","1993","0.00"
"Guyana","Industrial Processes","1993","0.00"
"Honduras","Industrial Processes","1993","0.00"
"Haiti","Industrial Processes","1993","0.00"
"Ireland","Industrial Processes","1993","0.00"
"Iraq","Industrial Processes","1993","0.00"
"Iceland","Industrial Processes","1993","0.00"
"Israel","Industrial Processes","1993","0.00"
"Jamaica","Industrial Processes","1993","0.00"
"Jordan","Industrial Processes","1993","0.00"
"Kenya","Industrial Processes","1993","0.00"
"Kyrgyzstan","Industrial Processes","1993","0.00"
"Cambodia","Industrial Processes","1993","0.00"
"Kiribati","Industrial Processes","1993","0.00"
"Saint Kitts and Nevis","Industrial Processes","1993","0.00"
"Kuwait","Industrial Processes","1993","0.00"
"Laos","Industrial Processes","1993","0.00"
"Lebanon","Industrial Processes","1993","0.00"
"Liberia","Industrial Processes","1993","0.00"
"Libya","Industrial Processes","1993","0.00"
"Saint Lucia","Industrial Processes","1993","0.00"
"Liechtenstein","Industrial Processes","1993","0.00"
"Sri Lanka","Industrial Processes","1993","0.00"
"Lesotho","Industrial Processes","1993","0.00"
"Lithuania","Industrial Processes","1993","0.00"
"Luxembourg","Industrial Processes","1993","0.00"
"Latvia","Industrial Processes","1993","0.00"
"Morocco","Industrial Processes","1993","0.00"
"Moldova","Industrial Processes","1993","0.00"
"Madagascar","Industrial Processes","1993","0.00"
"Maldives","Industrial Processes","1993","0.00"
"Marshall Islands","Industrial Processes","1993","0.00"
"Macedonia","Industrial Processes","1993","0.00"
"Mali","Industrial Processes","1993","0.00"
"Malta","Industrial Processes","1993","0.00"
"Myanmar","Industrial Processes","1993","0.00"
"Montenegro","Industrial Processes","1993","0.00"
"Mongolia","Industrial Processes","1993","0.00"
"Mozambique","Industrial Processes","1993","0.00"
"Mauritania","Industrial Processes","1993","0.00"
"Mauritius","Industrial Processes","1993","0.00"
"Malaysia","Industrial Processes","1993","0.00"
"Namibia","Industrial Processes","1993","0.00"
"Niger","Industrial Processes","1993","0.00"
"Nigeria","Industrial Processes","1993","0.00"
"Nicaragua","Industrial Processes","1993","0.00"
"Nepal","Industrial Processes","1993","0.00"
"Nauru","Industrial Processes","1993","0.00"
"Oman","Industrial Processes","1993","0.00"
"Pakistan","Industrial Processes","1993","0.00"
"Panama","Industrial Processes","1993","0.00"
"Palau","Industrial Processes","1993","0.00"
"Papua New Guinea","Industrial Processes","1993","0.00"
"North Korea","Industrial Processes","1993","0.00"
"Paraguay","Industrial Processes","1993","0.00"
"Rwanda","Industrial Processes","1993","0.00"
"Sudan","Industrial Processes","1993","0.00"
"Senegal","Industrial Processes","1993","0.00"
"Singapore","Industrial Processes","1993","0.00"
"Solomon Islands","Industrial Processes","1993","0.00"
"Sierra Leone","Industrial Processes","1993","0.00"
"El Salvador","Industrial Processes","1993","0.00"
"Somalia","Industrial Processes","1993","0.00"
"South Sudan","Industrial Processes","1993","0.00"
"Sao Tome and Principe","Industrial Processes","1993","0.00"
"Suriname","Industrial Processes","1993","0.00"
"Slovakia","Industrial Processes","1993","0.00"
"Slovenia","Industrial Processes","1993","0.00"
"Eswatini","Industrial Processes","1993","0.00"
"Seychelles","Industrial Processes","1993","0.00"
"Syria","Industrial Processes","1993","0.00"
"Chad","Industrial Processes","1993","0.00"
"Togo","Industrial Processes","1993","0.00"
"Tajikistan","Industrial Processes","1993","0.00"
"Turkmenistan","Industrial Processes","1993","0.00"
"Timor-Leste","Industrial Processes","1993","0.00"
"Tonga","Industrial Processes","1993","0.00"
"Tunisia","Industrial Processes","1993","0.00"
"Tuvalu","Industrial Processes","1993","0.00"
"Tanzania","Industrial Processes","1993","0.00"
"Uganda","Industrial Processes","1993","0.00"
"Uruguay","Industrial Processes","1993","0.00"
"Uzbekistan","Industrial Processes","1993","0.00"
"Saint Vincent and the Grenadines","Industrial Processes","1993","0.00"
"Vietnam","Industrial Processes","1993","0.00"
"Vanuatu","Industrial Processes","1993","0.00"
"Samoa","Industrial Processes","1993","0.00"
"Yemen","Industrial Processes","1993","0.00"
"Zambia","Industrial Processes","1993","0.00"
"Indonesia","Industrial Processes","1990","0.00"
"Zimbabwe","Industrial Processes","1990","0.00"
"Qatar","Industrial Processes","1990","0.00"
"Thailand","Industrial Processes","1990","0.00"
"India","Industrial Processes","1990","0.00"
"Venezuela","Industrial Processes","1990","0.00"
"Iran","Industrial Processes","1990","0.00"
"Chile","Industrial Processes","1990","0.00"
"Bahrain","Industrial Processes","1990","0.00"
"United Arab Emirates","Industrial Processes","1990","0.00"
"Peru","Industrial Processes","1990","0.00"
"Algeria","Industrial Processes","1990","0.00"
"Philippines","Industrial Processes","1990","0.00"
"Afghanistan","Industrial Processes","1990","0.00"
"Angola","Industrial Processes","1990","0.00"
"Albania","Industrial Processes","1990","0.00"
"Andorra","Industrial Processes","1990","0.00"
"Armenia","Industrial Processes","1990","0.00"
"Antigua and Barbuda","Industrial Processes","1990","0.00"
"Azerbaijan","Industrial Processes","1990","0.00"
"Burundi","Industrial Processes","1990","0.00"
"Benin","Industrial Processes","1990","0.00"
"Burkina Faso","Industrial Processes","1990","0.00"
"Bangladesh","Industrial Processes","1990","0.00"
"Bahamas","Industrial Processes","1990","0.00"
"Bosnia and Herzegovina","Industrial Processes","1990","0.00"
"Belize","Industrial Processes","1990","0.00"
"Bolivia","Industrial Processes","1990","0.00"
"Barbados","Industrial Processes","1990","0.00"
"Brunei","Industrial Processes","1990","0.00"
"Bhutan","Industrial Processes","1990","0.00"
"Botswana","Industrial Processes","1990","0.00"
"Central African Republic","Industrial Processes","1990","0.00"
"Switzerland","Industrial Processes","1990","0.00"
"China","Industrial Processes","1990","0.00"
"CГґte d'Ivoire","Industrial Processes","1990","0.00"
"Cameroon","Industrial Processes","1990","0.00"
"Democratic Republic of the Congo","Industrial Processes","1990","0.00"
"Republic of Congo","Industrial Processes","1990","0.00"
"Comoros","Industrial Processes","1990","0.00"
"Cape Verde","Industrial Processes","1990","0.00"
"Costa Rica","Industrial Processes","1990","0.00"
"Cuba","Industrial Processes","1990","0.00"
"Cyprus","Industrial Processes","1990","0.00"
"Djibouti","Industrial Processes","1990","0.00"
"Dominica","Industrial Processes","1990","0.00"
"Denmark","Industrial Processes","1990","0.00"
"Dominican Republic","Industrial Processes","1990","0.00"
"Ecuador","Industrial Processes","1990","0.00"
"Egypt","Industrial Processes","1990","0.00"
"Eritrea","Industrial Processes","1990","0.00"
"Estonia","Industrial Processes","1990","0.00"
"Ethiopia","Industrial Processes","1990","0.00"
"Finland","Industrial Processes","1990","0.00"
"Fiji","Industrial Processes","1990","0.00"
"Micronesia","Industrial Processes","1990","0.00"
"Gabon","Industrial Processes","1990","0.00"
"Georgia","Industrial Processes","1990","0.00"
"Ghana","Industrial Processes","1990","0.00"
"Guinea","Industrial Processes","1990","0.00"
"Gambia","Industrial Processes","1990","0.00"
"Guinea-Bissau","Industrial Processes","1990","0.00"
"Equatorial Guinea","Industrial Processes","1990","0.00"
"Greece","Industrial Processes","1990","0.00"
"Grenada","Industrial Processes","1990","0.00"
"Guatemala","Industrial Processes","1990","0.00"
"Guyana","Industrial Processes","1990","0.00"
"Honduras","Industrial Processes","1990","0.00"
"Haiti","Industrial Processes","1990","0.00"
"Ireland","Industrial Processes","1990","0.00"
"Iraq","Industrial Processes","1990","0.00"
"Iceland","Industrial Processes","1990","0.00"
"Israel","Industrial Processes","1990","0.00"
"Jamaica","Industrial Processes","1990","0.00"
"Jordan","Industrial Processes","1990","0.00"
"Kenya","Industrial Processes","1990","0.00"
"Kyrgyzstan","Industrial Processes","1990","0.00"
"Cambodia","Industrial Processes","1990","0.00"
"Kiribati","Industrial Processes","1990","0.00"
"Saint Kitts and Nevis","Industrial Processes","1990","0.00"
"Kuwait","Industrial Processes","1990","0.00"
"Laos","Industrial Processes","1990","0.00"
"Lebanon","Industrial Processes","1990","0.00"
"Liberia","Industrial Processes","1990","0.00"
"Libya","Industrial Processes","1990","0.00"
"Saint Lucia","Industrial Processes","1990","0.00"
"Liechtenstein","Industrial Processes","1990","0.00"
"Sri Lanka","Industrial Processes","1990","0.00"
"Lesotho","Industrial Processes","1990","0.00"
"Luxembourg","Industrial Processes","1990","0.00"
"Latvia","Industrial Processes","1990","0.00"
"Morocco","Industrial Processes","1990","0.00"
"Moldova","Industrial Processes","1990","0.00"
"Madagascar","Industrial Processes","1990","0.00"
"Maldives","Industrial Processes","1990","0.00"
"Marshall Islands","Industrial Processes","1990","0.00"
"Macedonia","Industrial Processes","1990","0.00"
"Mali","Industrial Processes","1990","0.00"
"Malta","Industrial Processes","1990","0.00"
"Myanmar","Industrial Processes","1990","0.00"
"Montenegro","Industrial Processes","1990","0.00"
"Mongolia","Industrial Processes","1990","0.00"
"Mozambique","Industrial Processes","1990","0.00"
"Mauritania","Industrial Processes","1990","0.00"
"Mauritius","Industrial Processes","1990","0.00"
"Malaysia","Industrial Processes","1990","0.00"
"Namibia","Industrial Processes","1990","0.00"
"Niger","Industrial Processes","1990","0.00"
"Nigeria","Industrial Processes","1990","0.00"
"Nicaragua","Industrial Processes","1990","0.00"
"Nepal","Industrial Processes","1990","0.00"
"Nauru","Industrial Processes","1990","0.00"
"Oman","Industrial Processes","1990","0.00"
"Pakistan","Industrial Processes","1990","0.00"
"Panama","Industrial Processes","1990","0.00"
"Palau","Industrial Processes","1990","0.00"
"Papua New Guinea","Industrial Processes","1990","0.00"
"North Korea","Industrial Processes","1990","0.00"
"Paraguay","Industrial Processes","1990","0.00"
"Rwanda","Industrial Processes","1990","0.00"
"Sudan","Industrial Processes","1990","0.00"
"Senegal","Industrial Processes","1990","0.00"
"Singapore","Industrial Processes","1990","0.00"
"Solomon Islands","Industrial Processes","1990","0.00"
"Sierra Leone","Industrial Processes","1990","0.00"
"El Salvador","Industrial Processes","1990","0.00"
"Somalia","Industrial Processes","1990","0.00"
"South Sudan","Industrial Processes","1990","0.00"
"Sao Tome and Principe","Industrial Processes","1990","0.00"
"Suriname","Industrial Processes","1990","0.00"
"Slovakia","Industrial Processes","1990","0.00"
"Slovenia","Industrial Processes","1990","0.00"
"Eswatini","Industrial Processes","1990","0.00"
"Seychelles","Industrial Processes","1990","0.00"
"Syria","Industrial Processes","1990","0.00"
"Chad","Industrial Processes","1990","0.00"
"Togo","Industrial Processes","1990","0.00"
"Tajikistan","Industrial Processes","1990","0.00"
"Turkmenistan","Industrial Processes","1990","0.00"
"Timor-Leste","Industrial Processes","1990","0.00"
"Tonga","Industrial Processes","1990","0.00"
"Tunisia","Industrial Processes","1990","0.00"
"Tuvalu","Industrial Processes","1990","0.00"
"Tanzania","Industrial Processes","1990","0.00"
"Uganda","Industrial Processes","1990","0.00"
"Uruguay","Industrial Processes","1990","0.00"
"Uzbekistan","Industrial Processes","1990","0.00"
"Saint Vincent and the Grenadines","Industrial Processes","1990","0.00"
"Vietnam","Industrial Processes","1990","0.00"
"Vanuatu","Industrial Processes","1990","0.00"
"Samoa","Industrial Processes","1990","0.00"
"Yemen","Industrial Processes","1990","0.00"
"Zambia","Industrial Processes","1990","0.00"
"Indonesia","Industrial Processes","1991","0.00"
"Zimbabwe","Industrial Processes","1991","0.00"
"Qatar","Industrial Processes","1991","0.00"
"Thailand","Industrial Processes","1991","0.00"
"India","Industrial Processes","1991","0.00"
"Venezuela","Industrial Processes","1991","0.00"
"Iran","Industrial Processes","1991","0.00"
"Chile","Industrial Processes","1991","0.00"
"Bahrain","Industrial Processes","1991","0.00"
"United Arab Emirates","Industrial Processes","1991","0.00"
"Peru","Industrial Processes","1991","0.00"
"Algeria","Industrial Processes","1991","0.00"
"Philippines","Industrial Processes","1991","0.00"
"Afghanistan","Industrial Processes","1991","0.00"
"Angola","Industrial Processes","1991","0.00"
"Albania","Industrial Processes","1991","0.00"
"Andorra","Industrial Processes","1991","0.00"
"Armenia","Industrial Processes","1991","0.00"
"Antigua and Barbuda","Industrial Processes","1991","0.00"
"Azerbaijan","Industrial Processes","1991","0.00"
"Burundi","Industrial Processes","1991","0.00"
"Benin","Industrial Processes","1991","0.00"
"Burkina Faso","Industrial Processes","1991","0.00"
"Bangladesh","Industrial Processes","1991","0.00"
"Bahamas","Industrial Processes","1991","0.00"
"Bosnia and Herzegovina","Industrial Processes","1991","0.00"
"Belize","Industrial Processes","1991","0.00"
"Bolivia","Industrial Processes","1991","0.00"
"Barbados","Industrial Processes","1991","0.00"
"Brunei","Industrial Processes","1991","0.00"
"Bhutan","Industrial Processes","1991","0.00"
"Botswana","Industrial Processes","1991","0.00"
"Central African Republic","Industrial Processes","1991","0.00"
"Switzerland","Industrial Processes","1991","0.00"
"China","Industrial Processes","1991","0.00"
"CГґte d'Ivoire","Industrial Processes","1991","0.00"
"Cameroon","Industrial Processes","1991","0.00"
"Democratic Republic of the Congo","Industrial Processes","1991","0.00"
"Republic of Congo","Industrial Processes","1991","0.00"
"Comoros","Industrial Processes","1991","0.00"
"Cape Verde","Industrial Processes","1991","0.00"
"Costa Rica","Industrial Processes","1991","0.00"
"Cuba","Industrial Processes","1991","0.00"
"Cyprus","Industrial Processes","1991","0.00"
"Djibouti","Industrial Processes","1991","0.00"
"Dominica","Industrial Processes","1991","0.00"
"Denmark","Industrial Processes","1991","0.00"
"Dominican Republic","Industrial Processes","1991","0.00"
"Ecuador","Industrial Processes","1991","0.00"
"Egypt","Industrial Processes","1991","0.00"
"Eritrea","Industrial Processes","1991","0.00"
"Estonia","Industrial Processes","1991","0.00"
"Ethiopia","Industrial Processes","1991","0.00"
"Finland","Industrial Processes","1991","0.00"
"Fiji","Industrial Processes","1991","0.00"
"Micronesia","Industrial Processes","1991","0.00"
"Gabon","Industrial Processes","1991","0.00"
"Georgia","Industrial Processes","1991","0.00"
"Ghana","Industrial Processes","1991","0.00"
"Guinea","Industrial Processes","1991","0.00"
"Gambia","Industrial Processes","1991","0.00"
"Guinea-Bissau","Industrial Processes","1991","0.00"
"Equatorial Guinea","Industrial Processes","1991","0.00"
"Greece","Industrial Processes","1991","0.00"
"Grenada","Industrial Processes","1991","0.00"
"Guatemala","Industrial Processes","1991","0.00"
"Guyana","Industrial Processes","1991","0.00"
"Honduras","Industrial Processes","1991","0.00"
"Haiti","Industrial Processes","1991","0.00"
"Ireland","Industrial Processes","1991","0.00"
"Iraq","Industrial Processes","1991","0.00"
"Iceland","Industrial Processes","1991","0.00"
"Israel","Industrial Processes","1991","0.00"
"Jamaica","Industrial Processes","1991","0.00"
"Jordan","Industrial Processes","1991","0.00"
"Kenya","Industrial Processes","1991","0.00"
"Kyrgyzstan","Industrial Processes","1991","0.00"
"Cambodia","Industrial Processes","1991","0.00"
"Kiribati","Industrial Processes","1991","0.00"
"Saint Kitts and Nevis","Industrial Processes","1991","0.00"
"Kuwait","Industrial Processes","1991","0.00"
"Laos","Industrial Processes","1991","0.00"
"Lebanon","Industrial Processes","1991","0.00"
"Liberia","Industrial Processes","1991","0.00"
"Libya","Industrial Processes","1991","0.00"
"Saint Lucia","Industrial Processes","1991","0.00"
"Liechtenstein","Industrial Processes","1991","0.00"
"Sri Lanka","Industrial Processes","1991","0.00"
"Lesotho","Industrial Processes","1991","0.00"
"Luxembourg","Industrial Processes","1991","0.00"
"Latvia","Industrial Processes","1991","0.00"
"Morocco","Industrial Processes","1991","0.00"
"Moldova","Industrial Processes","1991","0.00"
"Madagascar","Industrial Processes","1991","0.00"
"Maldives","Industrial Processes","1991","0.00"
"Marshall Islands","Industrial Processes","1991","0.00"
"Macedonia","Industrial Processes","1991","0.00"
"Mali","Industrial Processes","1991","0.00"
"Malta","Industrial Processes","1991","0.00"
"Myanmar","Industrial Processes","1991","0.00"
"Montenegro","Industrial Processes","1991","0.00"
"Mongolia","Industrial Processes","1991","0.00"
"Mozambique","Industrial Processes","1991","0.00"
"Mauritania","Industrial Processes","1991","0.00"
"Mauritius","Industrial Processes","1991","0.00"
"Malaysia","Industrial Processes","1991","0.00"
"Namibia","Industrial Processes","1991","0.00"
"Niger","Industrial Processes","1991","0.00"
"Nigeria","Industrial Processes","1991","0.00"
"Nicaragua","Industrial Processes","1991","0.00"
"Nepal","Industrial Processes","1991","0.00"
"Nauru","Industrial Processes","1991","0.00"
"Oman","Industrial Processes","1991","0.00"
"Pakistan","Industrial Processes","1991","0.00"
"Panama","Industrial Processes","1991","0.00"
"Palau","Industrial Processes","1991","0.00"
"Papua New Guinea","Industrial Processes","1991","0.00"
"North Korea","Industrial Processes","1991","0.00"
"Paraguay","Industrial Processes","1991","0.00"
"Rwanda","Industrial Processes","1991","0.00"
"Sudan","Industrial Processes","1991","0.00"
"Senegal","Industrial Processes","1991","0.00"
"Singapore","Industrial Processes","1991","0.00"
"Solomon Islands","Industrial Processes","1991","0.00"
"Sierra Leone","Industrial Processes","1991","0.00"
"El Salvador","Industrial Processes","1991","0.00"
"Somalia","Industrial Processes","1991","0.00"
"South Sudan","Industrial Processes","1991","0.00"
"Sao Tome and Principe","Industrial Processes","1991","0.00"
"Suriname","Industrial Processes","1991","0.00"
"Slovakia","Industrial Processes","1991","0.00"
"Eswatini","Industrial Processes","1991","0.00"
"Seychelles","Industrial Processes","1991","0.00"
"Syria","Industrial Processes","1991","0.00"
"Chad","Industrial Processes","1991","0.00"
"Togo","Industrial Processes","1991","0.00"
"Tajikistan","Industrial Processes","1991","0.00"
"Turkmenistan","Industrial Processes","1991","0.00"
"Timor-Leste","Industrial Processes","1991","0.00"
"Tonga","Industrial Processes","1991","0.00"
"Tunisia","Industrial Processes","1991","0.00"
"Tuvalu","Industrial Processes","1991","0.00"
"Tanzania","Industrial Processes","1991","0.00"
"Uganda","Industrial Processes","1991","0.00"
"Uruguay","Industrial Processes","1991","0.00"
"Uzbekistan","Industrial Processes","1991","0.00"
